Make,Price,Mileage,Cylinder,Liter,Cruise,Sound,Leather
Cadillac," 40,619.07 "," 30,082 ",8,5.7,1,1,1
Cadillac," 33,417.97 "," 6,598 ",6,2.8,1,1,1
Cadillac," 30,957.08 "," 10,625 ",6,2.8,1,1,1
Cadillac," 31,431.13 "," 11,013 ",6,2.8,1,1,1
Cadillac," 30,781.52 "," 14,937 ",6,2.8,1,1,1
Cadillac," 30,646.44 "," 17,094 ",6,2.8,1,1,1
Cadillac," 30,792.15 "," 17,870 ",6,2.8,1,1,1
Cadillac," 30,392.75 "," 18,449 ",6,2.8,1,1,1
Cadillac," 28,817.08 "," 21,039 ",6,2.8,1,0,1
Cadillac," 29,275.21 "," 21,056 ",6,2.8,1,1,1
Cadillac," 28,040.13 "," 27,484 ",6,2.8,1,1,1
Cadillac," 39,801.55 "," 14,095 ",8,4.6,1,0,1
Cadillac," 40,335.74 "," 14,743 ",8,4.6,1,0,1
Cadillac," 39,307.01 "," 16,041 ",8,4.6,1,0,1
Cadillac," 38,600.24 "," 17,138 ",8,4.6,1,0,1
Cadillac," 38,445.90 "," 18,661 ",8,4.6,1,0,1
Cadillac," 36,077.80 "," 21,966 ",8,4.6,1,0,1
Cadillac," 35,866.58 "," 24,415 ",8,4.6,1,1,1
Cadillac," 35,338.65 "," 25,163 ",8,4.6,1,0,1
Cadillac," 36,154.30 "," 25,339 ",8,4.6,1,1,1
Cadillac," 34,685.66 "," 25,421 ",8,4.6,1,0,1
Cadillac," 42,820.33 "," 5,499 ",8,4.6,1,0,1
Cadillac," 41,378.05 "," 8,125 ",8,4.6,1,0,1
Cadillac," 40,856.39 "," 12,791 ",8,4.6,1,1,1
Cadillac," 41,419.04 "," 14,452 ",8,4.6,1,0,1
Cadillac," 37,510.25 "," 21,593 ",8,4.6,1,0,1
Cadillac," 37,215.17 "," 22,211 ",8,4.6,1,0,1
Cadillac," 36,332.89 "," 25,153 ",8,4.6,1,0,1
Cadillac," 36,245.16 "," 26,250 ",8,4.6,1,1,1
Cadillac," 32,954.14 "," 36,074 ",8,4.6,1,0,1
Cadillac," 32,537.19 "," 41,829 ",8,4.6,1,1,1
Cadillac," 35,715.77 "," 6,447 ",8,4.6,1,0,1
Cadillac," 35,651.68 "," 10,555 ",8,4.6,1,1,1
Cadillac," 35,129.34 "," 11,975 ",8,4.6,1,1,1
Cadillac," 35,165.76 "," 13,449 ",8,4.6,1,1,1
Cadillac," 32,501.25 "," 17,508 ",8,4.6,1,0,1
Cadillac," 33,220.03 "," 18,661 ",8,4.6,1,0,1
Cadillac," 32,509.48 "," 20,910 ",8,4.6,1,0,1
Cadillac," 31,132.21 "," 23,124 ",8,4.6,1,1,1
Cadillac," 31,181.72 "," 26,222 ",8,4.6,1,0,1
Cadillac," 31,059.18 "," 27,544 ",8,4.6,1,1,1
Cadillac," 42,741.52 "," 2,846 ",6,3.6,1,0,1
Cadillac," 40,966.61 "," 7,476 ",6,3.6,1,1,1
Cadillac," 38,795.38 "," 13,973 ",6,3.6,1,1,1
Cadillac," 38,297.46 "," 16,754 ",6,3.6,1,0,1
Cadillac," 37,192.90 "," 19,100 ",6,3.6,1,0,1
Cadillac," 36,210.12 "," 21,778 ",6,3.6,1,0,1
Cadillac," 36,633.63 "," 22,042 ",6,3.6,1,1,1
Cadillac," 35,895.50 "," 23,056 ",6,3.6,1,1,1
Cadillac," 34,974.38 "," 25,796 ",6,3.6,1,1,1
Cadillac," 32,038.34 "," 35,326 ",6,3.6,1,1,1
Cadillac," 48,310.33 ", 788 ,8,4.6,1,0,1
Cadillac," 48,365.98 "," 2,616 ",8,4.6,1,1,1
Cadillac," 45,061.95 "," 13,829 ",8,4.6,1,1,1
Cadillac," 44,205.88 "," 15,104 ",8,4.6,1,0,1
Cadillac," 42,377.96 "," 18,581 ",8,4.6,1,0,1
Cadillac," 41,671.58 "," 20,575 ",8,4.6,1,0,1
Cadillac," 41,516.43 "," 23,861 ",8,4.6,1,1,1
Cadillac," 41,053.48 "," 25,717 ",8,4.6,1,1,1
Cadillac," 38,208.50 "," 31,303 ",8,4.6,1,1,1
Cadillac," 39,072.39 "," 31,587 ",8,4.6,1,0,1
Cadillac," 70,755.47 ", 583 ,8,4.6,1,1,1
Cadillac," 68,566.19 "," 6,420 ",8,4.6,1,1,1
Cadillac," 69,133.73 "," 7,892 ",8,4.6,1,1,1
Cadillac," 66,374.31 "," 12,021 ",8,4.6,1,1,1
Chevrolet," 12,146.19 "," 10,011 ",4,1.6,0,0,1
Chevrolet," 12,163.82 "," 12,101 ",4,1.6,0,0,1
Chevrolet," 11,472.02 "," 19,699 ",4,1.6,0,0,1
Chevrolet," 11,017.17 "," 20,100 ",4,1.6,0,1,0
Chevrolet," 11,096.86 "," 20,334 ",4,1.6,1,0,0
Chevrolet," 10,386.04 "," 22,225 ",4,1.6,0,0,0
Chevrolet," 11,137.05 "," 22,484 ",4,1.6,0,1,1
Chevrolet," 11,045.11 "," 24,568 ",4,1.6,1,0,1
Chevrolet," 10,777.05 "," 27,906 ",4,1.6,0,0,0
Chevrolet," 9,928.19 "," 29,680 ",4,1.6,0,0,1
Chevrolet," 12,649.11 "," 3,629 ",4,1.6,0,1,0
Chevrolet," 12,314.59 "," 4,142 ",4,1.6,0,1,0
Chevrolet," 11,318.01 "," 11,156 ",4,1.6,0,1,1
Chevrolet," 12,409.95 "," 11,981 ",4,1.6,1,1,1
Chevrolet," 11,555.27 "," 13,404 ",4,1.6,1,1,0
Chevrolet," 11,700.11 "," 15,253 ",4,1.6,1,0,0
Chevrolet," 11,215.02 "," 19,945 ",4,1.6,0,0,0
Chevrolet," 10,144.95 "," 23,963 ",4,1.6,1,1,0
Chevrolet," 10,491.08 "," 30,948 ",4,1.6,0,1,0
Chevrolet," 9,954.05 "," 37,345 ",4,1.6,0,1,1
Chevrolet," 11,031.13 "," 20,156 ",4,1.6,0,1,1
Chevrolet," 11,343.05 "," 20,186 ",4,1.6,1,1,1
Chevrolet," 11,391.21 "," 21,421 ",4,1.6,0,1,1
Chevrolet," 11,247.86 "," 21,427 ",4,1.6,1,1,1
Chevrolet," 10,921.95 "," 23,119 ",4,1.6,0,1,1
Chevrolet," 11,179.95 "," 23,121 ",4,1.6,0,1,1
Chevrolet," 11,394.89 "," 25,107 ",4,1.6,0,1,1
Chevrolet," 11,070.06 "," 25,476 ",4,1.6,0,1,1
Chevrolet," 11,013.87 "," 25,746 ",4,1.6,1,1,1
Chevrolet," 11,115.01 "," 30,056 ",4,1.6,1,1,1
Chevrolet," 11,918.46 "," 7,278 ",4,1.6,0,0,0
Chevrolet," 12,408.81 "," 10,213 ",4,1.6,0,0,1
Chevrolet," 11,302.90 "," 14,627 ",4,1.6,0,1,0
Chevrolet," 11,615.02 "," 19,014 ",4,1.6,0,1,1
Chevrolet," 10,805.13 "," 21,013 ",4,1.6,1,1,1
Chevrolet," 11,169.92 "," 22,380 ",4,1.6,0,1,0
Chevrolet," 10,770.11 "," 25,065 ",4,1.6,0,1,0
Chevrolet," 10,872.01 "," 25,869 ",4,1.6,0,0,0
Chevrolet," 10,921.95 "," 27,776 ",4,1.6,1,0,0
Chevrolet," 9,919.05 "," 34,621 ",4,1.6,0,1,0
Chevrolet," 10,813.34 ", 266 ,4,1.6,1,0,1
Chevrolet," 11,167.86 "," 4,716 ",4,1.6,1,1,0
Chevrolet," 10,897.08 "," 6,699 ",4,1.6,0,1,1
Chevrolet," 10,106.02 "," 14,200 ",4,1.6,1,0,0
Chevrolet," 10,354.04 "," 14,521 ",4,1.6,0,1,0
Chevrolet," 10,287.98 "," 16,521 ",4,1.6,1,1,1
Chevrolet," 9,720.98 "," 20,836 ",4,1.6,1,1,0
Chevrolet," 9,506.05 "," 22,169 ",4,1.6,0,0,1
Chevrolet," 9,789.04 "," 22,986 ",4,1.6,0,1,1
Chevrolet," 9,220.83 "," 29,992 ",4,1.6,1,0,1
Chevrolet," 10,971.10 "," 7,091 ",4,1.6,1,0,0
Chevrolet," 10,315.02 "," 14,438 ",4,1.6,0,0,1
Chevrolet," 9,654.06 "," 19,183 ",4,1.6,0,0,0
Chevrolet," 9,563.79 "," 19,273 ",4,1.6,1,1,0
Chevrolet," 9,665.85 "," 19,565 ",4,1.6,0,1,1
Chevrolet," 9,482.22 "," 24,842 ",4,1.6,1,0,0
Chevrolet," 8,638.93 "," 25,216 ",4,1.6,0,0,0
Chevrolet," 9,041.91 "," 26,191 ",4,1.6,0,0,1
Chevrolet," 8,870.95 "," 32,914 ",4,1.6,1,1,0
Chevrolet," 8,769.00 "," 35,299 ",4,1.6,0,0,0
Chevrolet," 13,007.98 "," 7,372 ",4,2.2,1,1,1
Chevrolet," 13,041.87 "," 13,607 ",4,2.2,0,1,1
Chevrolet," 12,045.92 "," 19,136 ",4,2.2,0,1,1
Chevrolet," 12,469.53 "," 19,712 ",4,2.2,0,1,1
Chevrolet," 11,539.85 "," 22,405 ",4,2.2,0,1,1
Chevrolet," 11,726.00 "," 23,103 ",4,2.2,0,1,1
Chevrolet," 12,207.87 "," 23,512 ",4,2.2,1,1,1
Chevrolet," 11,203.15 "," 27,364 ",4,2.2,1,1,1
Chevrolet," 10,788.97 "," 31,436 ",4,2.2,1,1,1
Chevrolet," 11,149.62 "," 34,447 ",4,2.2,1,1,1
Chevrolet," 14,584.45 "," 1,160 ",4,2.2,1,1,1
Chevrolet," 13,681.70 "," 10,210 ",4,2.2,1,1,1
Chevrolet," 13,446.21 "," 17,741 ",4,2.2,0,1,1
Chevrolet," 12,327.64 "," 19,347 ",4,2.2,0,1,1
Chevrolet," 12,274.96 "," 19,612 ",4,2.2,1,1,1
Chevrolet," 12,630.78 "," 22,571 ",4,2.2,1,1,1
Chevrolet," 12,425.39 "," 22,771 ",4,2.2,0,1,1
Chevrolet," 12,319.70 "," 24,568 ",4,2.2,1,1,1
Chevrolet," 12,549.89 "," 25,816 ",4,2.2,0,1,1
Chevrolet," 12,234.89 "," 30,297 ",4,2.2,1,1,1
Chevrolet," 14,894.98 "," 2,464 ",4,2.2,0,1,1
Chevrolet," 14,198.09 "," 11,322 ",4,2.2,1,1,1
Chevrolet," 14,678.11 "," 11,488 ",4,2.2,1,1,1
Chevrolet," 13,167.70 "," 14,630 ",4,2.2,0,1,1
Chevrolet," 13,471.01 "," 18,910 ",4,2.2,1,1,1
Chevrolet," 12,573.90 "," 25,048 ",4,2.2,1,1,1
Chevrolet," 12,383.40 "," 25,069 ",4,2.2,1,1,1
Chevrolet," 13,230.92 "," 25,862 ",4,2.2,0,1,1
Chevrolet," 11,080.52 "," 36,855 ",4,2.2,0,1,1
Chevrolet," 11,328.96 "," 39,946 ",4,2.2,1,1,1
Chevrolet," 15,053.93 "," 4,652 ",4,2.2,1,1,1
Chevrolet," 14,397.93 "," 5,189 ",4,2.2,0,1,1
Chevrolet," 14,642.32 "," 6,224 ",4,2.2,0,1,1
Chevrolet," 13,464.80 "," 14,231 ",4,2.2,1,1,1
Chevrolet," 13,678.86 "," 17,971 ",4,2.2,1,1,1
Chevrolet," 12,507.49 "," 19,715 ",4,2.2,1,1,1
Chevrolet," 13,141.05 "," 19,898 ",4,2.2,1,1,1
Chevrolet," 13,594.09 "," 20,682 ",4,2.2,1,1,1
Chevrolet," 12,733.86 "," 21,386 ",4,2.2,1,1,1
Chevrolet," 12,230.10 "," 28,408 ",4,2.2,0,1,1
Chevrolet," 14,222.31 "," 8,427 ",4,2.2,0,1,1
Chevrolet," 14,266.91 "," 8,615 ",4,2.2,0,1,1
Chevrolet," 14,255.75 "," 16,958 ",4,2.2,0,1,1
Chevrolet," 13,762.90 "," 18,040 ",4,2.2,1,1,1
Chevrolet," 14,275.13 "," 18,533 ",4,2.2,1,1,1
Chevrolet," 13,688.00 "," 18,766 ",4,2.2,1,1,1
Chevrolet," 13,308.83 "," 20,043 ",4,2.2,0,1,1
Chevrolet," 14,145.88 "," 20,512 ",4,2.2,1,1,1
Chevrolet," 12,944.94 "," 21,684 ",4,2.2,0,1,1
Chevrolet," 12,846.06 "," 27,560 ",4,2.2,1,1,1
Chevrolet," 14,061.12 "," 4,922 ",4,2.2,0,1,1
Chevrolet," 13,072.84 "," 14,311 ",4,2.2,0,1,1
Chevrolet," 11,699.03 "," 19,816 ",4,2.2,1,1,1
Chevrolet," 12,257.16 "," 21,492 ",4,2.2,1,1,1
Chevrolet," 11,574.17 "," 21,525 ",4,2.2,0,1,1
Chevrolet," 11,539.05 "," 24,163 ",4,2.2,0,1,1
Chevrolet," 12,243.06 "," 25,014 ",4,2.2,1,1,1
Chevrolet," 11,671.86 "," 25,727 ",4,2.2,1,1,1
Chevrolet," 11,464.63 "," 29,410 ",4,2.2,1,1,1
Chevrolet," 10,546.78 "," 38,866 ",4,2.2,1,1,1
Chevrolet," 15,553.21 "," 7,695 ",4,2.2,0,1,1
Chevrolet," 15,047.00 "," 12,305 ",4,2.2,1,1,1
Chevrolet," 13,540.04 "," 17,343 ",4,2.2,0,1,1
Chevrolet," 14,077.97 "," 17,445 ",4,2.2,0,1,1
Chevrolet," 12,981.95 "," 20,309 ",4,2.2,1,1,1
Chevrolet," 13,436.00 "," 20,530 ",4,2.2,0,1,1
Chevrolet," 13,161.94 "," 21,145 ",4,2.2,1,1,1
Chevrolet," 14,220.01 "," 23,069 ",4,2.2,1,1,1
Chevrolet," 12,379.13 "," 31,199 ",4,2.2,1,1,1
Chevrolet," 11,581.91 "," 36,566 ",4,2.2,0,1,1
Chevrolet," 14,023.94 "," 13,776 ",4,2.2,0,1,1
Chevrolet," 12,810.91 "," 19,461 ",4,2.2,1,1,1
Chevrolet," 13,135.91 "," 21,796 ",4,2.2,1,1,1
Chevrolet," 13,106.90 "," 21,910 ",4,2.2,0,1,1
Chevrolet," 12,845.17 "," 22,382 ",4,2.2,1,1,1
Chevrolet," 12,570.14 "," 22,479 ",4,2.2,0,1,1
Chevrolet," 12,897.93 "," 23,200 ",4,2.2,1,1,1
Chevrolet," 11,961.62 "," 27,394 ",4,2.2,1,1,1
Chevrolet," 12,706.91 "," 27,521 ",4,2.2,1,1,1
Chevrolet," 12,487.05 "," 28,492 ",4,2.2,0,1,1
Chevrolet," 15,635.80 "," 1,169 ",4,2.2,0,1,1
Chevrolet," 15,747.80 "," 6,048 ",4,2.2,0,1,1
Chevrolet," 14,619.08 "," 15,768 ",4,2.2,1,1,1
Chevrolet," 14,185.02 "," 20,374 ",4,2.2,0,1,1
Chevrolet," 13,699.04 "," 25,845 ",4,2.2,1,1,1
Chevrolet," 13,310.06 "," 26,143 ",4,2.2,1,1,1
Chevrolet," 13,530.07 "," 27,249 ",4,2.2,1,1,1
Chevrolet," 13,019.07 "," 27,942 ",4,2.2,1,1,1
Chevrolet," 12,684.99 "," 29,891 ",4,2.2,1,1,1
Chevrolet," 12,553.07 "," 32,844 ",4,2.2,1,1,1
Chevrolet," 14,997.88 "," 8,880 ",4,2.2,0,1,1
Chevrolet," 14,847.04 "," 12,980 ",4,2.2,0,1,1
Chevrolet," 15,128.99 "," 13,828 ",4,2.2,1,1,1
Chevrolet," 15,000.99 "," 14,504 ",4,2.2,0,1,1
Chevrolet," 14,593.85 "," 18,790 ",4,2.2,0,1,1
Chevrolet," 14,304.74 "," 21,128 ",4,2.2,0,1,1
Chevrolet," 13,688.95 "," 21,611 ",4,2.2,1,1,1
Chevrolet," 13,744.85 "," 23,748 ",4,2.2,0,1,1
Chevrolet," 13,545.03 "," 27,431 ",4,2.2,0,1,1
Chevrolet," 12,741.19 "," 34,815 ",4,2.2,0,1,1
Chevrolet," 16,116.84 ", 865 ,4,2.2,1,1,1
Chevrolet," 16,428.58 "," 9,882 ",4,2.2,0,1,1
Chevrolet," 15,084.82 "," 14,824 ",4,2.2,1,1,1
Chevrolet," 15,163.17 "," 17,158 ",4,2.2,1,1,1
Chevrolet," 14,897.04 "," 18,210 ",4,2.2,1,1,1
Chevrolet," 14,508.75 "," 18,910 ",4,2.2,0,1,1
Chevrolet," 14,418.17 "," 19,818 ",4,2.2,0,1,1
Chevrolet," 14,191.88 "," 21,181 ",4,2.2,1,1,1
Chevrolet," 14,401.91 "," 21,527 ",4,2.2,0,1,1
Chevrolet," 14,175.88 "," 21,627 ",4,2.2,0,1,1
Chevrolet," 14,429.79 "," 6,114 ",4,2.2,1,1,1
Chevrolet," 14,696.03 "," 6,709 ",4,2.2,1,1,1
Chevrolet," 14,582.77 "," 7,115 ",4,2.2,1,1,1
Chevrolet," 14,194.82 "," 9,561 ",4,2.2,0,1,1
Chevrolet," 14,072.14 "," 15,233 ",4,2.2,0,1,1
Chevrolet," 13,994.91 "," 17,270 ",4,2.2,0,1,1
Chevrolet," 13,830.25 "," 17,594 ",4,2.2,0,1,1
Chevrolet," 13,159.82 "," 22,740 ",4,2.2,1,1,1
Chevrolet," 12,495.97 "," 26,204 ",4,2.2,0,1,1
Chevrolet," 12,678.85 "," 28,683 ",4,2.2,0,1,1
Chevrolet," 46,732.61 "," 3,625 ",8,6,1,1,1
Chevrolet," 47,065.21 "," 5,239 ",8,6,1,1,1
